Tanggal,Kode_Emiten,Volatilitas_Aktual,Volatilitas_Pred_LSTM,Error_Abs,Error_Pct
2025-10-01,ADRO,0.019555,0.018438,0.001117,5.71
2025-10-02,ADRO,0.019484,0.018603,0.000881,4.5224
2025-10-03,ADRO,0.01898,0.018753,0.000228,1.2008
2025-10-06,ADRO,0.018385,0.018851,0.000466,2.5343
2025-10-07,ADRO,0.017861,0.018994,0.001134,6.3481
2025-10-08,ADRO,0.031403,0.019147,0.012256,39.0275
2025-10-09,ADRO,0.035257,0.019275,0.015983,45.3311
2025-10-10,ADRO,0.03528,0.019443,0.015837,44.8901
2025-10-13,ADRO,0.035463,0.019608,0.015854,44.7074
2025-10-14,ADRO,0.035308,0.019769,0.015539,44.0103
2025-10-15,ADRO,0.035342,0.019936,0.015406,43.5923
2025-10-16,ADRO,0.034999,0.020062,0.014937,42.679
2025-10-17,ADRO,0.03501,0.020196,0.014814,42.3141
2025-10-20,ADRO,0.035531,0.02026,0.015271,42.9787
2025-10-21,ADRO,0.035915,0.020295,0.01562,43.4925
2025-10-22,ADRO,0.035903,0.020202,0.015701,43.7317
2025-10-23,ADRO,0.035923,0.020173,0.01575,43.8435
2025-10-24,ADRO,0.035982,0.020131,0.015852,44.0535
2025-10-27,ADRO,0.035973,0.020133,0.01584,44.0339
2025-10-28,ADRO,0.035597,0.020111,0.015486,43.503
2025-10-29,ADRO,0.03941,0.020155,0.019255,48.8584
2025-10-30,ADRO,0.039519,0.020226,0.019293,48.8195
2025-10-31,ADRO,0.041484,0.020346,0.021137,50.9534
2025-11-03,ADRO,0.041714,0.020516,0.021197,50.8165
2025-11-04,ADRO,0.04206,0.02069,0.02137,50.808
2025-11-05,ADRO,0.033713,0.020873,0.01284,38.0864
2025-11-06,ADRO,0.029758,0.020866,0.008892,29.8796
2025-11-07,ADRO,0.029776,0.020966,0.008809,29.5858
2025-11-10,ADRO,0.029415,0.021041,0.008375,28.47
2025-11-11,ADRO,0.02924,0.021114,0.008125,27.789
2025-11-12,ADRO,0.028799,0.02118,0.007619,26.4557
2025-11-13,ADRO,0.029286,0.021239,0.008047,27.4777
2025-11-14,ADRO,0.029834,0.021291,0.008543,28.6356
2025-11-17,ADRO,0.029537,0.021345,0.008192,27.7345
2025-11-18,ADRO,0.02666,0.021345,0.005315,19.9367
2025-11-19,ADRO,0.026597,0.021281,0.005316,19.9872
2025-11-20,ADRO,0.026701,0.021228,0.005473,20.4988
2025-11-21,ADRO,0.026768,0.021159,0.00561,20.9558
2025-11-24,ADRO,0.026641,0.021081,0.00556,20.8694
2025-11-25,ADRO,0.026801,0.020957,0.005843,21.8029
2025-11-26,ADRO,0.019367,0.020827,0.00146,7.5389
2025-11-27,ADRO,0.018744,0.020582,0.001839,9.809
2025-11-28,ADRO,0.015522,0.020344,0.004822,31.0624
2025-12-01,ADRO,0.013879,0.020135,0.006257,45.0803
2025-12-02,ADRO,0.013748,0.019893,0.006144,44.6921
2025-12-03,ADRO,0.013757,0.019667,0.00591,42.9622
2025-12-04,ADRO,0.013906,0.019443,0.005537,39.8155
2025-12-05,ADRO,0.013474,0.019206,0.005732,42.5438
2025-12-08,ADRO,0.017284,0.018972,0.001688,9.7642
2025-12-09,ADRO,0.018814,0.018767,4.7e-05,0.2484
2025-12-10,ADRO,0.018645,0.018604,4.2e-05,0.2231
2025-12-11,ADRO,0.019161,0.018448,0.000713,3.723
2025-12-12,ADRO,0.018446,0.018349,9.7e-05,0.5264
2025-12-15,ADRO,0.019033,0.01831,0.000723,3.7977
2025-12-16,ADRO,0.018883,0.018256,0.000627,3.3196
2025-12-17,ADRO,0.01819,0.018294,0.000104,0.5715
2025-12-18,ADRO,0.021123,0.018263,0.00286,13.5408
2025-12-19,ADRO,0.020675,0.018289,0.002386,11.5395
2025-12-22,ADRO,0.020683,0.018391,0.002293,11.0856
2025-12-23,ADRO,0.020534,0.018501,0.002033,9.9014
2025-12-24,ADRO,0.020585,0.018676,0.001908,9.271
